header,headerLong,var,flagID,dataframe,class,softTime,hardValue,hardSigma,hardUnit,hardMethod
p_soc_sigma,Reported Profile Soil Organic Carbon Stock Standard Deviation - g cm-2,soc_sigma,,sample,numeric,sigma,,,g cm-2,
p_soc_depth,Reported Profile Soil Organic Carbon Stock Depth - cm,soc_depth,,sample,numeric,method,,,cm,
profile_name,Profile/Plot Name - ,profile_name,,field,factor,,,,,
profile_note,Profile Notes - ,profile_note,,field,character,,,,,
profile_comp,Are Profile Data From Composite Sample? - Yes or Blank,profile_comp,,field,factor,,,,,
layer_name,Layer Name - ,layer_name,field_id,field,factor,,,,,
layer_top,Layer Top - cm,layer_top,,field,numeric,,,,cm,
layer_bot,Layer Bottom - cm,layer_bot,,field,numeric,,,,cm,
hzn,Horizon  - ,hzn,,field,character,,,,,
layer_comp,Are Layer Data From Composite? - Yes or Blank,layer_comp,,field,factor,,,,Yes or Blank,
layer_note,Soil Layer or Horizon Notes - ,layer_note,,field,character,,,,,
color,Moist Munsell Color - ,color,,field,character,,,,,
burn_ev,Evidence of Burning - Burn or Blank,burn_ev,,field,factor,,,,Burn or Blank,
bd_samp,"Bulk Density, Coarse Fragments Removed - g cm-3",bd_samp,,sample,numeric,value,,,g cm-3,
bd_tot,Bulk Density With Coarse Fragments - g cm-3,bd_tot,,sample,numeric,value,,,g cm-3,
bd_notes,Bulk Density Method or Other Notes - ,^bd_,,sample,character,method,,,,
ph_cacl,Soil pH CaCl2 - ,ph_cacl,,sample,numeric,value,,,,
ph_h2o,Soil pH 1:1 - ,ph_h2o,,sample,numeric,value,,,,
ph_other,Soil pH Other - ,ph_other,,sample,numeric,value,,,,
caco3,Calcium Carbonate - percent,caco3,,sample,numeric,value,,,percent,
sand_tot_psa,Percent Sand - percent,sand_tot_psa,,sample,numeric,value,,,percent,
silt_tot_psa,Percent Silt - percent,silt_tot_psa,,sample,numeric,value,,,percent,
clay_tot_psa,Percent Clay - percent,clay_tot_psa,,sample,numeric,value,,,percent,
coarse_tot,Coarse Fraction - percent,coarse_tot,,sample,numeric,value,,,percent,
coarse_size_thresh,Coarse Fraction Size Threshold Used - ,coarse_tot,,sample,character,method,,,,
texture_class,Texture Class - (texture_class),texture_class,,field,factor,,,,,
bet_surface_area,Bulk Layer Surface Area Measured By BET - ,bet_surface_area,,sample,character,value,,,,
cat_exch,Cation Exchange  - cmol H+ kg-1,cat_exch,,sample,numeric,value,,,cmol H+ kg-1,
base_sum,Sum of Bases - meq 100g-1,base_sum,,sample,numeric,value,,,meq 100g-1,
cec_sum ,Sum of Cation Exchange Capacity - meq 100g-1,cec_sum ,,sample,numeric,value,,,meq 100g-1,
ecec,Effective Cation Exchange Capacity - meq 100g-1,ecec,,sample,numeric,value,,,meq 100g-1,
bs ,% Base Saturation - percent,bs ,,sample,numeric,value,,,percent,
c_tot,Bulk Layer Total Carbon - percent,c_tot,,sample,numeric,value,,,percent,
oc,Bulk Layer Organic Carbon - percent,oc,,sample,numeric,value,,,percent,
n_tot,Bulk Layer Total Nitrogen - percent,n_tot,,sample,numeric,value,,,percent,
c_to_n,Bulk Layer C:N - unitless,c_to_n,,sample,numeric,value,,,unitless,
loi,Bulk Layer Loss on Ignition - percent,loi,,sample,numeric,value,,,percent,
15n,Bulk Layer δ15N - permil,15n,,sample,numeric,value,,,permil,
13c,Bulk Layer δ13C - permil,13c,,sample,numeric,value,,,permil,
rc_lab,Radiocarbon Laboratory ID - rc_lab,(15n)|(13c)|(14c)|(fraction_modern),,sample,character,method,,,,
rc_lab_number,Radiocarbon Laboratory Sample Number - ,(15n)|(13c)|(14c)|(fraction_modern),,sample,character,method,,,,
rc_year,Radiocarbon Analysis Year - YYYY,(15n)|(13c)|(14c)|(fraction_modern),,sample,character,method,,,YYYY,
14c,Bulk Layer Δ14C - permil,14c,,sample,numeric,value,,,permil,
14c_sigma,Bulk Layer Δ14C Standard Deviation - permil,14c,,sample,numeric,sigma,,,permil,
fraction_modern,Bulk Layer Fraction Modern - ,fraction_modern,,sample,numeric,value,,,,
fraction_modern_sigma,Bulk Layer Fraction Modern Standard Deviation - ,fraction_modern,,sample,numeric,sigma,,,,
mbc_method,Microbial Biomass Method - (mbc_method),mbc,,sample,factor,method,,,,
